rank,rank_change,title,revenue,revenue_change,profits,expenses,profit_change,assets,market_value,employees,ceo_title,sector,industry,years_on_fortune_500,city,state
11,-1,Ford Motor,"156,776",3.30%,"7,602.00",149174,65.40%,"$257,808","$44,244","202,000","President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,24,Dearborn,MI
12,-1,AmerisourceBergen,"153,144",4.30%,364.50,152779.5,-74.50%,"$35,317","$18,938","19,500","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Health Care,24,Chesterbrook,PA
13,6,Chevron,"134,533",25.10%,"9,195.00",125338,-,"$253,806","$217,845","51,900",Chairman &  Chief Executive Officer,Energy,Petroleum Refining,24,San Ramon,CA
14,1,Cardinal Health,"129,976",6.90%,"1,288.00",128688,-9.70%,"$40,112","$19,726","40,400",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,24,Dublin,OH
15,1,Costco,"129,025",8.70%,"2,679.00",126346,14.00%,"$36,347","$82,687","182,000","President, Chief Executive Officer &  Director",Retailing,General Merchandisers,24,Issaquah,WA
16,-2,Verizon,"126,034",0.00%,"30,101.00",95933,129.30%,"$257,143","$197,497","155,400",Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,24,New York,NY
17,1,Kroger,"122,662",6.40%,"1,907.00",120755,-3.40%,"$37,197","$20,828","449,000",Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Cincinnati,OH
18,-5,General Electric,"122,274",-3.50%,"-5,786.00",128060,-165.50%,"$377,945","$117,054","313,000",Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Boston,MA
19,-2,Walgreens Boots Alliance,"118,214",0.70%,"4,078.00",114136,-2.30%,"$66,009","$64,924","290,000",Vice Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Deerfield,IL
20,1,JPMorgan Chase,"113,899",8.00%,"24,441.00",89458,-1.20%,"$2,533,600","$375,043","252,539",Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY
21,-1,Fannie Mae,"112,394",4.90%,"2,463.00",109931,-80.00%,"$3,345,529","$1,633","7,200","President, Chief Executive Officer &  Director",Financials,Diversified Financials,21,Leavenworth,WA
22,5,Alphabet,"110,855",22.80%,"12,662.00",98193,-35.00%,"$197,295","$719,124","80,110",Chief Executive Officer &  Director,Technology,Internet Services and Retailing,13,Mountain View,CA
23,0,Home Depot,"100,904",6.70%,"8,630.00",92274,8.50%,"$44,529","$206,272","413,000","Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Atlanta,GA
24,2,Bank of America Corp.,"100,264",7.00%,"18,232.00",82032,1.80%,"$2,281,234","$306,618","209,376","Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,24,Charlotte,NC
25,-3,Express Scripts Holding,"100,065",-0.20%,"4,517.40",95547.6,32.70%,"$54,256","$38,791","26,600","President, Chief Executive Officer &  Director",Health Care,Health Care: Pharmacy and Other Services,19,St. Louis,MO
26,-1,Wells Fargo,"97,741",3.80%,"22,183.00",75558,1.10%,"$1,951,757","$255,556","262,700","President, Chief Executive Officer &  Director",Financials,Commercial Banks,24,SF,CA
27,-3,Boeing,"93,392",-1.20%,"8,197.00",85195,67.50%,"$92,333","$192,539","140,800","Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Chicago,IL
28,6,Phillips 66,"91,568",26.50%,"5,106.00",86462,228.40%,"$54,371","$44,730","14,600",Chairman &  Chief Executive Officer,Energy,Petroleum Refining,6,Houston,TX
29,0,Anthem,"90,040",6.10%,"3,842.80",86197.2,55.60%,"$70,540","$56,182","56,000","President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Indianapolis,IN
30,-2,Microsoft,"89,950",5.40%,"21,204.00",68746,26.20%,"$241,086","$702,760","124,000",Chief Executive Officer &  Director,Technology,Computer Software,24,Redmond,WA
31,6,Valero Energy,"88,407",26.00%,"4,065.00",84342,77.60%,"$50,158","$39,977","10,015","Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,20,San Antonio,TX
32,-2,Citigroup,"87,966",6.80%,"-6,798.00",94764,-145.60%,"$1,842,465","$172,822","209,000",Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY
33,-2,Comcast,"84,526",5.10%,"22,714.00",61812,161.20%,"$186,949","$158,703","164,000","Chairman, President &  Chief Executive Officer",Telecommunications,Telecommunications,23,Philadelphia,PA
34,-2,IBM,"79,139",-1.00%,"5,753.00",73386,-51.50%,"$125,356","$141,335","397,800","Chairman, President &  Chief Executive Officer",Technology,Information Technology Services,24,Armonk,NY
35,6,Dell Technologies,"78,660",21.40%,"-3,728.00",82388,-,"$122,281",-,"145,000",Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",21,Round Rock,TX
36,-3,State Farm Insurance Cos.,"78,331",2.90%,"2,206.50",76124.5,529.90%,"$272,345",-,"65,664","Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Mutual),24,Bloomington,IL
37,-2,Johnson & Johnson,"76,450",6.30%,"1,300.00",75150,-92.10%,"$157,303","$343,780","134,000",Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New Brunswick,NJ
38,1,Freddie Mac,"74,676",13.70%,"5,625.00",69051,-28.00%,"$2,049,776",$878,"6,165",Chairman &  Chief Executive Officer,Financials,Diversified Financials,21,McLean,VA
39,-1,Target,"71,879",3.40%,"2,934.00",68945,7.20%,"$38,999","$37,409","345,000",Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Minneapolis,MN
40,0,Lowes,"68,619",5.50%,"3,447.00",65172,11.40%,"$35,291","$72,812","255,000","Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,24,Mooresville,NC
41,10,Marathon Petroleum,"67,610",21.00%,"3,432.00",64178,192.30%,"$49,047","$34,683","43,800",Chairman &  Chief Executive Officer,Energy,Petroleum Refining,7,Findlay,OH
42,-6,Procter & Gamble,"66,217",-7.70%,"15,326.00",50891,45.90%,"$120,406","$199,865","95,000","Chairman, President &  Chief Executive Officer",Household Products,Household and Personal Products,24,Cincinnati,OH
43,-1,MetLife,"66,153",4.20%,"4,010.00",62143,401.30%,"$719,892","$47,572","49,000","Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,New York,NY
44,2,UPS,"65,872",8.20%,"4,910.00",60962,43.10%,"$45,403","$90,156","346,415",Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Atlanta,GA
45,-1,PepsiCo,"63,525",1.20%,"4,857.00",58668,-23.30%,"$79,804","$154,933","263,000",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Harrison,NY
46,1,Intel,"62,761",5.70%,"9,601.00",53160,-6.90%,"$123,249","$243,109","102,700",Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,24,Santa Clara,CA
47,15,DowDuPont,"62,683",30.20%,"1,460.00",61223,-66.20%,"$192,164","$148,186",98000,Chief Executive Officer,Chemicals,Chemicals,24,Midland,Michigan
48,-3,Archer Daniels Midland,"60,828",-2.40%,"1,595.00",59233,24.70%,"$39,963","$24,238","31,300","Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Production,24,Chicago,IL
49,-6,Aetna,"60,535",-4.10%,"1,904.00",58631,-16.20%,"$55,151","$55,229","47,950",Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,18,Hartford,CT
50,8,FedEx,"60,319",19.80%,"2,997.00",57322,64.70%,"$48,552","$64,161","357,000",Chairman &  Chief Executive Officer,Transportation,"Mail, Package, and Freight Delivery",24,Memphis,TN
51,-1,United Technologies,"59,837",4.50%,"4,552.00",55285,-10.00%,"$96,920","$100,667","204,700","Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Farmington,CT
52,-4,Prudential Financial,"59,689",1.50%,"7,863.00",51826,80.00%,"$831,921","$43,686","49,705","Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Newark,NJ
53,-4,Albertsons Cos.,"59,678",1.60%,-373.30,60051.3,-,"$23,755",-,"273,000",Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,14,Boise,ID
54,3,Sysco,"55,371",9.90%,"1,142.50",54228.5,20.30%,"$17,757","$31,294","66,500","President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,24,Houston,TX
55,-3,Disney,"55,137",-0.90%,"8,980.00",46157,-4.40%,"$95,789","$151,029","199,000",Chairman &  Chief Executive Officer,Media,Entertainment,24,Burbank,CA
56,-3,Humana,"53,767",-1.10%,"2,448.00",51319,298.70%,"$27,178","$37,122","45,900","President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Louisville,KY
57,-3,Pfizer,"52,546",-0.50%,"21,308.00",31238,195.30%,"$171,797","$211,115","90,200",Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,24,New York,NY
58,3,HP,"52,056",7.90%,"2,526.00",49530,1.20%,"$32,913","$35,893","49,000","President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",24,Palo Alto,CA
59,-3,Lockheed Martin,"51,048",0.80%,"2,002.00",49046,-62.20%,"$46,521","$96,589","100,000","Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Bethesda,MD
60,-5,AIG,"49,520",-5.40%,"-6,084.00",55604,-,"$498,301","$49,145","49,800","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY
61,5,Centene,"48,572",19.30%,828.00,47744,47.30%,"$21,855","$18,704","33,700",Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,9,St. Louis,MO
62,-2,Cisco Systems,"48,005",-2.50%,"9,609.00",38396,-10.50%,"$129,818","$206,623","72,900",Chairman &  Chief Executive Officer,Technology,Network and Other Communications Equipment,22,San Jose,CA
63,0,HCA Healthcare,"47,653",6.50%,"2,216.00",45437,-23.30%,"$36,593","$34,165",221491,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,24,Nashville,TN
64,15,Energy Transfer Equity,"47,487",26.60%,954.00,46533,-4.10%,"$86,246","$15,335","29,486",President &  Director,Energy,Pipelines,12,Dallas,TX
65,9,Caterpillar,"45,462",18.00%,754.00,44708,-,"$76,962","$88,078","98,400",Chairman &  Chief Executive Officer,Industrials,Construction and Farm Machinery,24,Deerfield,IL
66,2,Nationwide,"43,940",9.60%,246.50,43693.5,-26.20%,"$221,257",-,"33,135",Chief Executive Officer,Financials,Insurance: Property and Casualty (Mutual),24,Columbus,OH
67,9,Morgan Stanley,"43,642",15.00%,"6,111.00",37531,2.20%,"$851,733","$96,688","57,633",Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York,NY
68,7,Liberty Mutual Insurance Group,"42,687",11.40%,17.00,42670,-98.30%,"$142,502",-,"50,000","Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),24,Boston,MA
69,-4,New York Life Insurance,"42,296",3.70%,"1,866.90",40429.1,71.60%,"$303,183",-,"11,114",Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,New York,NY
70,8,Goldman Sachs Group,"42,254",12.00%,"4,286.00",37968,-42.10%,"$916,776","$95,463","36,600",Chairman &  Chief Executive Officer,Financials,Commercial Banks,19,New York,NY
71,-4,American Airlines Group,"42,207",5.00%,"1,919.00",40288,-28.30%,"$51,396","$24,584","126,600",Chairman &  Chief Executive Officer,Transportation,Airlines,24,Fort Worth,TX
72,0,Best Buy,"42,151",7.00%,"1,000.00",41151,-18.60%,"$13,049","$20,460","125,000",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Richfield,MN
73,-3,Cigna,"41,616",4.90%,"2,237.00",39379,19.80%,"$61,753","$40,735","46,000","President, Chief Executive Officer &  Director",Health Care,Health Care: Insurance and Managed Care,24,Bloomfield,CT
74,22,Charter Communications,"41,581",43.40%,"9,895.00",31686,180.90%,"$146,623","$80,954","94,800",Chairman &  Chief Executive Officer,Telecommunications,Telecommunications,18,Stamford,CT
75,-4,Delta Air Lines,"41,244",4.00%,"3,577.00",37667,-18.20%,"$53,292","$38,746","86,564",Chairman &  Chief Executive Officer,Transportation,Airlines,24,Atlanta,GA
76,22,Facebook,"40,653",47.10%,"15,934.00",24719,56.00%,"$84,524","$464,190","25,105",Chairman &  Chief Executive Officer,Technology,Internet Services and Retailing,6,Menlo Park,CA
77,-4,Honeywell International,"40,534",3.10%,"1,655.00",38879,-65.60%,"$59,387","$108,149","131,000","President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",24,Morris Plains,NJ
78,-9,Merck,"40,122",0.80%,"2,394.00",37728,-38.90%,"$87,872","$146,862","69,000","Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Kenilworth,NJ
79,5,Allstate,"38,524",5.40%,"3,189.00",35335,69.90%,"$112,422","$33,478","42,680","Chairman, President &  Chief Executive Officer",Financials,Insurance: Property and Casualty (Stock),23,Northbrook,IL
80,2,Tyson Foods,"38,260",3.70%,"1,774.00",36486,0.30%,"$28,066","$29,233","122,000","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,24,Springdale,AR
81,2,United Continental Holdings,"37,736",3.20%,"2,131.00",35605,-5.80%,"$42,326","$19,778","89,800",Chairman &  Chief Executive Officer,Transportation,Airlines,24,Chicago,IL
82,-1,Oracle,"37,728",1.80%,"9,335.00",28393,4.90%,"$134,991","$186,766","138,000",Co-Chief Executive Officer &  Director,Technology,Computer Software,23,Redwood City,CA
83,24,Tech Data,"36,775",40.20%,116.60,36658.4,-40.20%,"$12,653","$3,249","14,000",Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Clearwater,FL
84,-4,TIAA,"36,025",-2.90%,"1,049.70",34975.3,-29.70%,"$583,632",-,"16,829","President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (Mutual)",21,New York,NY
85,2,TJX,"35,865",8.10%,"2,607.90",33257.1,13.50%,"$14,058","$51,571","249,000","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,24,Framingham,MA
86,0,American Express,"35,583",5.20%,"2,736.00",32847,-49.40%,"$181,159","$80,234","55,000",Chairman &  Chief Executive Officer,Financials,Diversified Financials,24,New York,NY
87,-23,Coca-Cola,"35,410",-15.40%,"1,248.00",34162,-80.90%,"$87,896","$185,207","61,800","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,24,Atlanta,GA
88,-3,Publix Super Markets,"34,837",1.60%,"2,291.90",32545.1,13.10%,"$18,184",-,"193,000","President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,24,Lakeland,FL
89,-1,Nike,"34,350",6.10%,"4,240.00",30110,12.80%,"$23,259","$108,094","74,400","Chairman, President &  Chief Executive Officer",Apparel,Apparel,24,Beaverton,OR
90,27,Andeavor,"34,204",42.50%,"1,528",32676,108.20%,"$28,573","$15,386",14300,"Chairman, President &  Chief Executive Officer",Energy,Petroleum Refining,19,San Antonio,TX
91,12,World Fuel Services,"33,696",24.70%,-170.20,33866.2,-234.50%,"$5,588","$1,661","5,000",Chairman &  Chief Executive Officer,Energy,Energy,14,Miami,FL
92,-3,Exelon,"33,531",6.90%,"3,770.00",29761,232.50%,"$116,700","$37,644","34,621","President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Chicago,IL
93,-16,Massachusetts Mutual Life Insurance,"33,495",-11.40%,513.00,32982,-59.70%,"$288,855",-,"11,811","Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (Mutual)",24,Springfield,MA
94,-3,Rite Aid,"32,845",6.90%,4.10,32840.9,-97.60%,"$11,594","$1,793","70,430",Chairman &  Chief Executive Officer,Food &  Drug Stores,Food and Drug Stores,24,Camp Hill,PA
95,20,ConocoPhillips,"32,584",33.80%,-855.00,33439,-,"$73,362","$69,641","11,400",Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",24,Houston,TX
96,-3,CHS,"31,935",5.20%,127.90,31807.1,-69.90%,"$15,974",-,"11,626","President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Production,19,Inver Grove Heights,MN
97,-3,3M,"31,657",5.10%,"4,858.00",26799,-3.80%,"$37,987","$130,550","91,536","Chairman, President &  Chief Executive Officer",Industrials,Miscellaneous,24,St Paul,MN
98,-3,Time Warner,"31,271",6.70%,"5,247.00",26024,33.60%,"$69,209","$73,758","26,000",Chairman &  Chief Executive Officer,Media,Entertainment,19,New York,NY
99,-9,General Dynamics,"30,973",-1.20%,"2,912.00",28061,-1.50%,"$35,046","$65,845","98,600",Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA
100,2,USAA,"30,016",10.60%,"2,421.90",27594.1,36.10%,"$155,391",-,"32,705",Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,San Antonio,TX
101,-1,Capital One Financial,"29,999",9.00%,"1,982.00",28017,-47.20%,"$365,693","$46,584","49,300","Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,19,McLean,VA
102,3,Deere,"29,738",11.60%,"2,159.10",27578.9,41.70%,"$65,786","$50,291","60,476","Chairman, President &  Chief Executive Officer",Industrials,Construction and Farm Machinery,24,Moline,IL
103,86,INTL FCStone,"29,424",99.40%,6.40,29417.6,-88.30%,"$6,243",$804,"1,607","President, Chief Executive Officer &  Director",Financials,Diversified Financials,10,New York,NY
104,-7,Northwestern Mutual,"29,331",1.80%,"1,017.00",28314,24.30%,"$265,049",-,"5,437",Chairman &  Chief Executive Officer,Financials,"Insurance: Life, Health (Mutual)",24,Milwaukee,WI
105,17,Enterprise Products Partners,"29,242",27.00%,"2,799.30",26442.7,11.40%,"$54,418","$52,904","7,000",Chairman &  Chief Executive Officer,Energy,Pipelines,13,Houston,TX
106,-7,Travelers Cos.,"28,902",4.60%,"2,056.00",26846,-31.80%,"$103,483","$37,691","30,800",Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),24,New York,NY
107,-48,Hewlett Packard Enterprise,"28,871",-42.40%,344.00,28527,-89.10%,"$61,406","$27,243","66,000","President, Chief Executive Officer &  Director",Technology,"Computers, Office Equipment",2,Palo Alto,CA
108,-4,Philip Morris International,"28,748",7.70%,"6,035.00",22713,-13.40%,"$42,968","$154,514","80,600",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Tobacco,10,New York,NY
109,-8,Twenty-First Century Fox,"28,500",4.30%,"2,952.00",25548,7.20%,"$50,724","$67,969","21,700",Chief Executive Officer &  Director,Media,Entertainment,14,New York,NY
110,1,AbbVie,"28,216",10.10%,"5,309.00",22907,-10.80%,"$70,786","$150,180","29,000",Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,5,North Chicago,IL
111,24,Abbott Laboratories,"27,390",31.30%,477.00,26913,-65.90%,"$76,250","$104,640","99,000",Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Lake Bluff,IL
112,8,Progressive,"26,839",14.50%,"1,592.20",25246.8,54.40%,"$38,701","$35,478","33,656","President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,Mayfield,OH
113,5,Arrow Electronics,"26,813",12.50%,402.00,26411,-23.10%,"$16,463","$6,750","18,800","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Electronics and Office Equipment,24,Centennial,CO
114,-8,Kraft Heinz,"26,232",-1.00%,"10,999.00",15233,202.80%,"$120,232","$75,920","39,000",Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Pittsburgh,PA
115,26,Plains GP Holdings,"26,223",29.90%,-731.00,26954,-877.70%,"$26,753","$6,328","4,850",Chairman &  Chief Executive Officer,Energy,Pipelines,5,Houston,TX
116,-24,Gilead Sciences,"26,107",-14.10%,"4,628.00",21479,-65.70%,"$70,283","$98,298","10,000","President, Chief Executive Officer &  Director",Health Care,Pharmaceuticals,10,San Mateo,CA
117,-8,Mondelez International,"25,896",-0.10%,"2,922.00",22974,76.10%,"$63,109","$62,066","83,000",Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,11,Deerfield,IL
118,-4,Northrop Grumman,"25,803",5.30%,"2,015.00",23788,-8.40%,"$34,917","$60,778","70,000",Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Falls Church,VA
119,-3,Raytheon,"25,348",5.30%,"2,024.00",23324,-8.50%,"$30,860","$62,265","64,000",Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,Waltham,MA
120,-10,Macys,"24,837",-3.70%,"1,547.00",23290,149.90%,"$19,381","$9,065","130,000",Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Cincinnati,OH
121,3,US Foods Holding,"24,147",5.40%,444.30,23702.7,111.80%,"$9,037","$7,065","25,204","Chairman, President &  Chief Executive Officer",Wholesalers,Wholesalers: Food and Grocery,7,Rosemont,IL
122,3,U.S. Bancorp,"23,996",5.50%,"6,218.00",17778,5.60%,"$462,040","$83,367","72,402","President, Chief Executive Officer &  Director",Financials,Commercial Banks,20,Minneapolis,MN
123,5,Dollar General,"23,471",6.80%,"1,539.00",21932,23.00%,"$12,517","$25,141","129,000",Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,20,Goodlettsville,TN
124,9,International Paper,"23,302",10.50%,"2,144.00",21158,137.20%,"$33,903","$22,063","56,000",Chairman &  Chief Executive Officer,Materials,"Packaging, Containers",24,Memphis,TN
125,-4,Duke Energy,"23,189",-0.80%,"3,059.00",20130,42.10%,"$137,914","$54,276","29,060","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Charlotte,NC
126,19,Southern,"23,031",15.80%,842.00,22189,-65.60%,"$111,005","$45,024","31,344","Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Atlanta,GA
127,36,Marriott International,"22,894",34.10%,"1,372.00",21522,75.90%,"$23,948","$48,531","177,000","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",20,Bethesda,MD
128,-20,Avnet,"22,872",-12.80%,525.30,22346.7,3.70%,"$9,700","$5,009","15,700",Chief Executive Officer &  Director,Wholesalers,Wholesalers: Electronics and Office Equipment,24,Phoenix,AZ
129,3,Eli Lilly,"22,871",7.80%,-204.10,23075.1,-107.50%,"$44,981","$84,542","40,655","Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,24,Indianapolis,IN
130,-7,Amgen,"22,849",-0.60%,"1,979.00",20870,-74.40%,"$79,954","$122,842","20,800","Chairman, President &  Chief Executive Officer",Health Care,Pharmaceuticals,19,Thousand Oaks,CA
131,-19,McDonalds,"22,820",-7.30%,"5,192.30",17627.7,10.80%,"$33,804","$124,244","235,000","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,24,Oak Brook,IL
132,-1,Starbucks,"22,387",5.00%,"2,884.70",19502.3,2.40%,"$14,366","$81,370","277,000","President, Chief Executive Officer &  Director","Hotels, Restaurants &  Leisure",Food Services,16,Seattle,WA
133,-14,Qualcomm,"22,291",-5.40%,"2,466.00",19825,-56.80%,"$65,486","$82,027","33,800",Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,19,San Diego,CA
134,2,Dollar Tree,"22,246",7.40%,"1,714.30",20531.7,91.30%,"$16,333","$22,523","116,200","President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,10,Chesapeake,VA
135,37,PBF Energy,"21,787",36.80%,415.50,21371.5,143.30%,"$8,118","$3,752","3,165",Chairman &  Chief Executive Officer,Energy,Petroleum Refining,6,Parsippany-Troy Hills,NJ
136,32,Icahn Enterprises,"21,744",33.00%,"2,430.00",19314,-,"$31,801","$9,901","89,034","President, Chief Executive Officer &  Director",Financials,Diversified Financials,10,New York,NY
137,-11,Aflac,"21,667",-4.00%,"4,604.00",17063,73.10%,"$137,217","$34,038","11,318","Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Columbus,GA
138,-9,AutoNation,"21,535",-0.30%,434.60,21100.4,1.00%,"$10,272","$4,296","26,000","Chairman, President &  Chief Executive Officer",Retailing,"Automotive Retailing, Services",21,Fort Lauderdale,FL
139,3,Penske Automotive Group,"21,389",6.20%,613.30,20775.7,78.90%,"$10,541","$3,817","26,000",Chairman &  Chief Executive Officer,Retailing,"Automotive Retailing, Services",20,Bloomfield Hills,MI
140,-3,Whirlpool,"21,253",2.60%,350.00,20903,-60.60%,"$20,038","$10,824","92,000","President, Chief Executive Officer &  Director",Industrials,"Electronics, Electrical Equip.",24,Benton Harbor,MI
141,2,Union Pacific,"21,240",6.50%,"10,712.00",10528,153.10%,"$57,806","$104,261","41,992","Chairman, President &  Chief Executive Officer",Transportation,Railroads,24,Omaha,NE
142,-4,Southwest Airlines,"21,171",3.70%,"3,488.00",17683,55.40%,"$25,110","$33,678","56,110",Chairman &  Chief Executive Officer,Transportation,Airlines,24,Dallas,TX
143,3,ManpowerGroup,"21,034",7.00%,545.40,20488.6,22.90%,"$8,884","$7,614","29,000",Chairman &  Chief Executive Officer,Business Services,Temporary Help,24,Milwaukee,WI
144,10,Thermo Fisher Scientific,"20,918",14.50%,"2,225.00",18693,10.10%,"$56,669","$82,952","66,100","President, Chief Executive Officer &  Director",Technology,"Scientific,Photographic and  Control Equipment",16,Waltham,MA
